City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
106,Pivijay,10.4617,-74.6162,86.09,80,95,3.33,CO,2021-09-19 21:28:34
107,Hami,42.8,93.45,71.76,20,25,1.5,CN,2021-09-19 21:24:43
108,Myitkyina,25.3833,97.4,72.34,99,71,1.7,MM,2021-09-19 21:28:34
109,Nanortalik,60.1432,-45.2371,37.98,86,51,10.96,GL,2021-09-19 21:25:03
110,Kodiak,57.79,-152.4072,51.31,71,1,3.44,US,2021-09-19 21:28:35
111,De Aar,-30.6497,24.0123,56.79,16,0,4.16,ZA,2021-09-19 21:28:35
112,Salalah,17.0151,54.0924,80.69,89,75,6.91,OM,2021-09-19 21:28:35
113,Inuvik,68.3499,-133.7218,43.66,52,75,3.44,CA,2021-09-19 21:27:50
114,Eyl,7.9803,49.8164,77.99,77,68,15.05,SO,2021-09-19 21:28:35
115,Nogliki,51.8333,143.1667,44.85,69,94,11.56,RU,2021-09-19 21:28:36
116,Los Alamos,35.8881,-106.307,79.36,31,40,1.01,US,2021-09-19 21:25:45
117,Listvyanskiy,54.4399,83.4984,42.19,84,100,9.73,RU,2021-09-19 21:28:36
118,Sitka,57.0531,-135.33,55.29,76,75,3.44,US,2021-09-19 21:28:02
119,College,64.8569,-147.8028,46.06,73,75,6.91,US,2021-09-19 21:28:36
120,Nuevo Imperial,-13.0754,-76.3172,63.16,75,31,8.23,PE,2021-09-19 21:28:37
121,Kasangulu,-4.5911,15.1708,74.34,68,100,2.84,CD,2021-09-19 21:28:37
122,Bluff,-46.6,168.3333,49.8,83,77,14.03,NZ,2021-09-19 21:28:37
123,Zhitnevo,55.3423,37.9146,41.49,93,75,17.9,RU,2021-09-19 21:28:37
124,Adrar,20.5022,-10.0711,94.05,22,3,18.75,MR,2021-09-19 21:25:18
125,Cabedelo,-6.9811,-34.8339,77.67,71,53,15.3,BR,2021-09-19 21:28:38
126,Dunedin,-45.8742,170.5036,48.54,76,80,4.94,NZ,2021-09-19 21:24:24
127,Butaritari,3.0707,172.7902,83.41,65,97,15.7,KI,2021-09-19 21:28:38
128,Puerto Carreno,6.189,-67.4859,85.15,67,84,0.13,CO,2021-09-19 21:28:38
129,Hambantota,6.1241,81.1185,79.14,100,0,6.91,LK,2021-09-19 21:28:38
130,Punta Arenas,-53.15,-70.9167,46.51,71,75,24.16,CL,2021-09-19 21:28:39
131,Sungaipenuh,-2.0833,101.3833,64.04,94,99,1.3,ID,2021-09-19 21:28:39
132,Port-Gentil,-0.7193,8.7815,78.76,78,40,9.22,GA,2021-09-19 21:28:39
133,Kathua,32.3667,75.5167,78.42,83,0,3.18,IN,2021-09-19 21:28:39
134,Caravelas,-17.7125,-39.2481,73.56,74,27,7.58,BR,2021-09-19 21:28:40
135,Gornoye Loo,43.7129,39.6049,62.38,79,77,6.62,RU,2021-09-19 21:28:40
136,Tasiilaq,65.6145,-37.6368,37.56,76,88,2.39,GL,2021-09-19 21:28:40
137,Margate,51.3813,1.3862,62.31,88,100,1.99,GB,2021-09-19 21:28:41
138,Wakkanai,45.4094,141.6739,60.78,54,2,13.8,JP,2021-09-19 21:28:41
139,Saint-Philippe,-21.3585,55.7679,63.99,68,6,6.87,RE,2021-09-19 21:28:41
140,Constantine,36.365,6.6147,71.01,73,20,1.14,DZ,2021-09-19 21:28:41
141,Tura,25.5198,90.2201,72.34,98,34,4.61,IN,2021-09-19 21:28:42
142,Kutum,14.2,24.6667,80.46,35,46,7.61,SD,2021-09-19 21:25:09
