,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Kavieng,PG,-2.5744,150.7967,82.83,71,100,6.33,overcast clouds
177,San Antonio,US,29.4241,-98.4936,101.95,28,75,10.36,broken clouds
178,Isangel,VU,-19.55,169.2667,80.71,57,40,11.5,scattered clouds
179,Huarmey,PE,-10.0681,-78.1522,63.48,79,7,10.16,clear sky
180,Lima,PE,-12.0432,-77.0282,61.5,78,31,8.34,scattered clouds
181,Rawson,AR,-43.3002,-65.1023,55.54,47,1,6.89,clear sky
182,Shediac,CA,46.2198,-64.5411,54.43,75,0,6.26,clear sky
183,Lebedinyy,RU,58.5167,125.5167,38.64,86,16,3.94,few clouds
184,Yar-Sale,RU,66.8333,70.8333,36.18,98,100,12.01,light rain
185,Bemidji,US,47.4736,-94.8803,55.49,82,90,12.66,overcast clouds
186,Celestun,MX,20.8667,-90.4,84.4,77,10,16.08,clear sky
187,Eydhafushi,MV,5.1033,73.0708,81.59,77,47,10.18,scattered clouds
188,Richards Bay,ZA,-28.783,32.0377,67.24,80,99,15.73,light rain
189,Rio Cuarto,AR,-33.1307,-64.3499,56.14,57,86,9.55,overcast clouds
190,Pacific Grove,US,36.6177,-121.9166,91.6,66,0,7.49,clear sky
191,Berlevag,NO,70.8578,29.0864,41.52,74,23,26.22,few clouds
192,Hasaki,JP,35.7333,140.8333,68.4,63,56,7.54,broken clouds
193,Portland,US,45.5234,-122.6762,73.38,49,20,8.05,few clouds
194,Souillac,MU,-20.5167,57.5167,68.52,70,56,14.81,broken clouds
195,Mantua,IT,45.1667,10.7833,63.64,89,87,9.86,overcast clouds
196,Alta Floresta,BR,-9.8756,-56.0861,88.92,27,76,2.37,broken clouds
197,Matara,LK,5.9485,80.5353,77.58,88,81,7.87,broken clouds
198,Bloemfontein,ZA,-29.1211,26.214,49.69,33,0,13.38,clear sky
199,Guerrero Negro,MX,27.9769,-114.0611,78.76,49,0,12.59,clear sky
200,Pisco,PE,-13.7,-76.2167,66.25,68,0,12.66,clear sky
201,Padang,ID,-0.9492,100.3543,73.45,88,72,3.71,broken clouds
202,Rio Gallegos,AR,-51.6226,-69.2181,53.65,62,75,6.91,broken clouds
203,Ust-Kulom,RU,61.6864,53.6902,36.72,74,75,3.62,broken clouds
204,Hay River,CA,60.8156,-115.7999,48.85,66,77,1.9,broken clouds
205,Kembe,CF,4.6228,21.8865,68.59,97,77,2.13,broken clouds
206,Aksu,CN,41.1231,80.2644,68.83,29,1,1.28,clear sky
207,Guebwiller,FR,47.9167,7.2,54.73,92,76,2.93,broken clouds
208,Zaykovo,RU,57.5613,62.7568,31.32,97,25,3.33,scattered clouds
209,Saskylakh,RU,71.9167,114.0833,31.08,96,100,5.21,overcast clouds
210,Kitgum,UG,3.2783,32.8867,64.6,97,4,1.3,clear sky
211,Waunakee,US,43.1919,-89.4557,82.42,51,1,16.11,clear sky
212,Porto Walter,BR,-8.2686,-72.7439,84.0,56,65,1.23,broken clouds
213,Barrancabermeja,CO,7.0653,-73.8547,80.08,79,79,1.57,light rain
214,Dingle,PH,10.9995,122.6711,76.73,92,84,1.39,broken clouds
215,Dera Bugti,PK,29.0307,69.151,88.7,40,33,0.87,scattered clouds
216,Manokwari,ID,-0.8667,134.0833,78.24,79,100,3.71,overcast clouds
217,Lebu,CL,-37.6167,-73.65,50.38,84,0,21.21,clear sky
218,Kingisepp,RU,59.3733,28.6134,40.57,75,98,7.16,light rain
219,Santa Ana,US,33.7456,-117.8678,95.02,54,1,12.66,clear sky
220,Anloga,GH,5.7947,0.8973,78.53,86,81,12.12,broken clouds
221,Sterling,US,39.0062,-77.4286,74.19,60,40,6.91,scattered clouds
222,Nago,JP,26.5881,127.9761,82.47,69,16,2.68,few clouds
223,Morondava,MG,-20.2833,44.2833,71.76,76,12,5.14,few clouds
224,Vanimo,PG,-2.6741,141.3028,80.85,81,100,4.54,overcast clouds
225,Elat,IL,29.5581,34.9482,83.14,41,0,8.03,clear sky
226,Pozzallo,IT,36.7305,14.8499,75.85,80,97,1.63,overcast clouds
227,Soyo,AO,-6.1349,12.3689,74.52,88,46,6.89,scattered clouds
228,Vestmannaeyjar,IS,63.4427,-20.2734,49.12,73,100,13.98,overcast clouds
229,Charters Towers,AU,-20.1,146.2667,76.23,37,100,16.51,overcast clouds
230,Samarai,PG,-10.6167,150.6667,77.59,89,100,13.51,overcast clouds
231,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,94.28,22,19,4.72,few clouds
232,Saint-Pierre,RE,-21.3393,55.4781,67.64,72,75,5.75,light rain
233,Leshukonskoye,RU,64.8989,45.7622,31.68,93,12,1.41,few clouds
234,Tanete,ID,-3.9443,119.7848,71.44,93,100,4.32,light rain
235,Buala,SB,-8.145,159.5921,83.84,71,40,9.26,scattered clouds
236,Basoko,CD,1.2391,23.616,73.33,85,62,2.21,light rain
237,Paracuru,BR,-3.41,-39.0306,80.62,81,26,13.35,scattered clouds
238,Veraval,IN,20.9,70.3667,80.19,88,76,13.09,broken clouds
239,Praya,CV,14.9215,-23.5087,81.14,89,40,13.8,scattered clouds
240,Provideniya,RU,64.3833,-173.3,33.91,69,90,4.47,light rain and snow
241,Kawalu,ID,-7.3817,108.2082,68.38,94,57,1.63,broken clouds
242,Podbrdo,BA,44.4408,17.0139,38.75,87,100,1.9,overcast clouds
243,Trairi,BR,-3.2778,-39.2689,78.6,79,12,11.36,few clouds
244,La Palma,US,33.8464,-118.0467,91.17,45,0,7.76,clear sky
245,Prince Rupert,CA,54.3161,-130.3201,55.49,94,90,13.8,mist
246,Esperance,AU,-33.8667,121.9,47.77,81,10,13.22,clear sky
247,Alugan,PH,12.2188,125.4808,80.65,81,47,5.46,scattered clouds
248,Hualmay,PE,-11.0964,-77.6139,63.01,77,16,11.12,few clouds
249,Abu Samrah,SY,35.3029,37.1841,75.02,50,0,6.6,clear sky
250,Erzin,TR,36.9559,36.2,75.92,77,0,0.67,clear sky
251,Kindia,GN,10.0569,-12.8658,70.34,94,81,1.92,light rain
252,Imeni Poliny Osipenko,RU,52.4201,136.4853,49.1,78,82,5.08,broken clouds
253,Brindisi,IT,40.5833,17.6667,71.96,68,99,6.38,overcast clouds
254,Octeville,FR,49.6261,-1.6435,60.66,94,0,3.44,clear sky
255,La Libertad,EC,-2.2333,-80.9,71.26,83,75,13.8,broken clouds
256,Wiwili,NI,13.6268,-85.8254,80.19,83,84,3.83,broken clouds
257,Emba,KZ,48.8264,58.1442,48.43,36,80,9.55,broken clouds
258,Naryan-Mar,RU,67.6713,53.087,38.55,89,100,12.62,overcast clouds
259,Lieksa,FI,63.3167,30.0167,34.61,88,94,7.99,overcast clouds
260,Marawi,PH,7.9986,124.2928,71.87,88,40,1.68,scattered clouds
