City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
230,Samarai,PG,77.59,overcast clouds,-10.6167,150.6667,Nuli Sapi
232,Saint-Pierre,RE,67.64,light rain,-21.3393,55.4781,Lindsey Hôtel
234,Tanete,ID,71.44,light rain,-3.9443,119.7848,Wisma Tri Multi
236,Basoko,CD,73.33,light rain,1.2391,23.616,Jackyna Hotel
241,Kawalu,ID,68.38,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
243,Trairi,BR,78.6,few clouds,-3.2778,-39.2689,janelas do mar
245,Prince Rupert,CA,55.49,mist,54.3161,-130.3201,Crest Hotel
248,Hualmay,PE,63.01,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
249,Abu Samrah,SY,75.02,clear sky,35.3029,37.1841,
250,Erzin,TR,75.92,clear sky,36.9559,36.2,Artemis Otel
251,Kindia,GN,70.34,light rain,10.0569,-12.8658,LES EAUX DE KILISSI
253,Brindisi,IT,71.96,overcast clouds,40.5833,17.6667,Agriturismo Tibitone
254,Octeville,FR,60.66,clear sky,49.6261,-1.6435,Hôtel Le Louvre Cherbourg
255,La Libertad,EC,71.26,broken clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
260,Marawi,PH,71.87,scattered clouds,7.9986,124.2928,Derogongan Residence
261,Namibe,AO,62.19,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
262,Candido Mendes,BR,77.56,few clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
264,Prado,BR,73.36,few clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
266,Mahuva,IN,78.06,overcast clouds,21.0914,71.7622,Hotel Blue Diamond.
267,Milton,US,73.38,light rain,34.1322,-84.3007,Children's Cottage Montessori
273,Poum,NC,72.52,overcast clouds,-20.2333,164.0167,Gîte kajeon
274,Nizwa,OM,79.7,clear sky,22.9333,57.5333,Orient Apartments
275,Qui Nhon,VN,76.91,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
277,Bonthe,SL,78.08,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
278,Cawayan,PH,77.63,overcast clouds,9.9718,122.6249,Paradise Beach Resort
279,Tiznit,MA,64.49,few clouds,29.5833,-9.5,
280,Cidreira,BR,66.42,broken clouds,-30.1811,-50.2056,Hotel Castelo
283,Comodoro Rivadavia,AR,57.43,clear sky,-45.8667,-67.5,Austral Hotel
284,Praia Da Vitoria,PT,68.76,clear sky,38.7333,-27.0667,Hotel Branco I
291,Sibolga,ID,75.51,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
292,Weligama,LK,77.83,broken clouds,5.9667,80.4167,Weligama Bay Resort
298,Liverpool,GB,58.95,scattered clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
302,Dunedin,NZ,55.83,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
303,Xichang,CN,58.82,clear sky,27.8964,102.2634,Xichang ibis Hotel
304,Pitrufquen,CL,57.22,clear sky,-38.9833,-72.65,El Amable Refugio
305,Belmonte,BR,75.7,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
306,Mosetse,BW,76.17,clear sky,-20.75,26.65,
313,Kisangani,CD,72.59,broken clouds,0.5167,25.2,Grand Ramela Hotel
316,Brewster,US,70.14,clear sky,41.3973,-73.6171,Heidi's Inn
321,Caninde,BR,79.43,scattered clouds,-4.3589,-39.3117,Hotel Casa Grande II
322,Avera,US,76.51,overcast clouds,33.194,-82.5271,
323,Sakaiminato,JP,73.33,clear sky,35.55,133.2333,味処・民宿 まつや
324,Tura,IN,70.66,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
325,Kabanjahe,ID,61.56,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
327,Elmont,US,71.4,scattered clouds,40.7009,-73.7129,Bellerose Inn
331,Williamsport,US,71.62,clear sky,41.2412,-77.0011,Hampton Inn Williamsport-Downtown
334,Kathmandu,NP,68.22,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
335,Afua,BR,78.35,broken clouds,-0.1567,-50.3867,Hotel Dias
336,Chuguyevka,RU,56.86,light rain,44.1653,133.8633,
339,Benguela,AO,71.51,broken clouds,-12.5763,13.4055,Hotel Praia Morena
342,Tagusao,PH,79.72,broken clouds,9.1924,117.8141,Toledo
344,Sumbe,AO,71.26,scattered clouds,-11.2061,13.8437,Hotel Ritz Sumbe
345,Rodrigues Alves,BR,79.09,broken clouds,-7.7379999999999995,-72.6509,Pousada Aconchego
346,Sovetskaya,RU,59.32,clear sky,44.7769,41.1722,
349,Srandakan,ID,74.98,overcast clouds,-7.9386,110.2506,Puri Brata
350,Qingquan,CN,68.74,clear sky,30.4511,115.2559,Caiyuan Hotel
351,Seydi,TM,64.78,clear sky,39.4816,62.9137,Seydi oteli
353,Sitka,US,57.09,light rain,57.0531,-135.33,Westmark Sitka
357,Ballina,AU,64.09,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
358,Sliven,BG,62.1,broken clouds,42.6858,26.3292,Sport Palace
359,Kemptville,CA,70.39,overcast clouds,45.0168,-75.641,Kemptville Suites by Rob Thompson Hotels
360,Horta,PT,69.85,clear sky,38.5333,-28.6333,Hotel do Canal | Horta - Faial
363,Sokoni,TZ,76.05,clear sky,-6.4333,39.55,Ujamaa Beach Resort
365,Sola,VU,77.94,overcast clouds,-13.8833,167.55,Leumerus Bungalows
367,Manakara,MG,64.4,scattered clouds,-22.1333,48.0167,La Residence Manakara
369,Taber,CA,64.72,few clouds,49.8167,-112.1518,Taber Motel
371,Hervey Bay,AU,71.01,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
373,Bozoum,CF,68.79,overcast clouds,6.3193,16.3799,
375,Caceres,ES,66.85,clear sky,39.522,-6.3748,Ahc Hoteles
376,Phuket,TH,75.42,moderate rain,8.0,98.25,The Surin
380,Calama,CL,62.35,overcast clouds,-22.4667,-68.9333,Diego De Almagro Calama
381,Pailitas,CO,78.51,overcast clouds,8.9565,-73.6255,HOTEL JECENTER
382,Boueni,YT,76.98,clear sky,-12.9025,45.0761,The feet in water
384,Bethel,US,69.91,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
386,Trincomalee,LK,79.36,overcast clouds,8.5711,81.2335,Welcombe Hotel
388,Hefei,CN,68.65,light rain,31.8639,117.2808,Jinhuan Hotel
390,Savalou,BJ,75.0,overcast clouds,7.9281,1.9756,Hotel F&F
391,Ziarat,PK,61.21,clear sky,30.3823,67.7282,Pakiza Guest House
395,Wanning,CN,78.35,light rain,18.8003,110.3967,Paradise Hotel
396,Tuy Hoa,VN,75.43,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
397,Karwar,IN,76.77,light rain,14.8,74.1333,Netalco Connects
399,Wamba,NG,72.7,light rain,8.9333,8.6,Roma Zee Guest House Annex
400,Antalaha,MG,69.4,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
402,Gravelbourg,CA,60.6,clear sky,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
403,Katsuura,JP,71.71,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
